BOOKING CODE;TICKET NUMBER;PASSENGER TYPE;TRIP DATE;TRAIN CODE;STAMFFORM CODE;CLASS;SEAT;ROUTE
GA51535493;9061946;Full price ticket;04/09/2026;G1043;01;First Class;001A;Halim—Padalarang
GA51535493;9061947;Full price ticket;04/09/2026;G1043;01;First Class;001C;Halim—Padalarang
GA71593528;9052815;Full price ticket;04/09/2026;G1043;01;First Class;002A;Halim—Padalarang
GA71593528;9052816;Full price ticket;04/09/2026;G1043;01;First Class;002C;Halim—Padalarang
GA51035597;9054969;Full price ticket;04/09/2026;G1043;01;First Class;003A;Halim—Padalarang
GA51035597;9054970;Full price ticket;04/09/2026;G1043;01;First Class;003C;Halim—Padalarang
GA53514113;9218613;Full price ticket;04/09/2026;G1043;01;First Class;003F;Halim—Padalarang
GA53558110;9028968;Full price ticket;04/09/2026;G1043;01;Business Class;004C;Halim—Padalarang
GA53558110;9028969;Full price ticket;04/09/2026;G1043;01;Business Class;004D;Halim—Padalarang
GA53558110;9028967;Full price ticket;04/09/2026;G1043;01;Business Class;004F;Halim—Padalarang
GA63019541;9188188;Full price ticket;04/09/2026;G1043;01;Business Class;005D;Halim—Padalarang
GA63019541;9188189;Full price ticket;04/09/2026;G1043;01;Business Class;005F;Halim—Padalarang
GA53661251;9228521;Full price ticket;04/09/2026;G1043;01;Business Class;006A;Halim—Padalarang
GA23533211;9218646;Full price ticket;04/09/2026;G1043;01;Business Class;006D;Halim—Padalarang
GA23533211;9218647;Full price ticket;04/09/2026;G1043;01;Business Class;006F;Halim—Padalarang
GA23533211;9218648;Full price ticket;04/09/2026;G1043;01;Business Class;007D;Halim—Padalarang
GA23533211;9218649;Full price ticket;04/09/2026;G1043;01;Business Class;007F;Halim—Padalarang
GA53515162;9210209;Full price ticket;04/09/2026;G1043;01;Business Class;008A;Halim—Padalarang
GA13559140;9231983;Full price ticket;04/09/2026;G1043;01;Business Class;008C;Halim—Padalarang
GA23533211;9218650;Full price ticket;04/09/2026;G1043;01;Business Class;008D;Halim—Padalarang
GA11553330;9218700;Full price ticket;04/09/2026;G1043;01;Business Class;008F;Halim—Padalarang
GA11553330;9218701;Full price ticket;04/09/2026;G1043;01;Business Class;009D;Halim—Padalarang
GA11553330;9218702;Full price ticket;04/09/2026;G1043;01;Business Class;009F;Halim—Padalarang
GA53509151;9232089;Full price ticket;04/09/2026;G1043;01;Business Class;010C;Halim—Padalarang
GA49785135;9231926;Full price ticket;04/09/2026;G1043;01;Business Class;010D;Halim—Padalarang
GA11553330;9218703;Full price ticket;04/09/2026;G1043;01;Business Class;010F;Halim—Padalarang
GA17648553;9054954;Full price ticket;04/09/2026;G1043;01;Business Class;005A;Halim—Tegalluar
GA17648553;9054955;Full price ticket;04/09/2026;G1043;01;Business Class;005C;Halim—Tegalluar
GA17648553;9054956;Full price ticket;04/09/2026;G1043;01;Business Class;007A;Halim—Tegalluar
GA17648553;9054957;Full price ticket;04/09/2026;G1043;01;Business Class;007C;Halim—Tegalluar
GA17648553;9054958;Full price ticket;04/09/2026;G1043;01;Business Class;009A;Halim—Tegalluar
GA35361587;9231697;Full price ticket;04/09/2026;G1043;01;Business Class;010A;Halim—Tegalluar
GA83056551;9028970;Full price ticket;04/09/2026;G1043;02;Premium Economy Class;001F;Halim—Padalarang
GA51435287;9231861;Full price ticket;04/09/2026;G1043;02;Premium Economy Class;003A;Halim—Padalarang
GA65302915;9054966;Full price ticket;04/09/2026;G1043;02;Premium Economy Class;003B;Halim—Padalarang
GA53565161;9054183;Full price ticket;04/09/2026;G1043;02;Premium Economy Class;003D;Halim—Padalarang
GA53565161;9054184;Full price ticket;04/09/2026;G1043;02;Premium Economy Class;003F;Halim—Padalarang
GA48175533;9231718;Full price ticket;04/09/2026;G1043;02;Premium Economy Class;004D;Halim—Padalarang
GA13657551;9228608;Full price ticket;04/09/2026;G1043;02;Premium Economy Class;004F;Halim—Padalarang
GA35314915;9232106;Full price ticket;04/09/2026;G1043;02;Premium Economy Class;005D;Halim—Padalarang
GA14498553;9231916;Full price ticket;04/09/2026;G1043;02;Premium Economy Class;005F;Halim—Padalarang
GA19466553;9230912;Full price ticket;04/09/2026;G1043;02;Premium Economy Class;007F;Halim—Padalarang
GA19557331;9231989;Full price ticket;04/09/2026;G1043;02;Premium Economy Class;008A;Halim—Padalarang
GA51535592;9232040;Full price ticket;04/09/2026;G1043;02;Premium Economy Class;008B;Halim—Padalarang
GA79519345;9072395;Full price ticket;04/09/2026;G1043;02;Premium Economy Class;009A;Halim—Padalarang
GA51735491;9052813;Full price ticket;04/09/2026;G1043;02;Premium Economy Class;009D;Halim—Padalarang
GA51735491;9052814;Full price ticket;04/09/2026;G1043;02;Premium Economy Class;009F;Halim—Padalarang
GA91593562;9052819;Full price ticket;04/09/2026;G1043;02;Premium Economy Class;010D;Halim—Padalarang
GA31502955;9093331;Gold Silver;04/09/2026;G1043;02;Premium Economy Class;010F;Halim—Padalarang
GA91593562;9052820;Full price ticket;04/09/2026;G1043;02;Premium Economy Class;011A;Halim—Padalarang
GA91593562;9052821;Full price ticket;04/09/2026;G1043;02;Premium Economy Class;011B;Halim—Padalarang
GA91593562;9052822;Full price ticket;04/09/2026;G1043;02;Premium Economy Class;011C;Halim—Padalarang
GA19195533;9339312;Full price ticket;04/09/2026;G1043;02;Premium Economy Class;011D;Halim—Padalarang
GA19195533;9339313;Full price ticket;04/09/2026;G1043;02;Premium Economy Class;011F;Halim—Padalarang
GA19215153;9072392;Full price ticket;04/09/2026;G1043;02;Premium Economy Class;014A;Halim—Padalarang
GA19215153;9072393;Full price ticket;04/09/2026;G1043;02;Premium Economy Class;014B;Halim—Padalarang
GA88518382;9217428;Full price ticket;04/09/2026;G1043;02;Premium Economy Class;014F;Halim—Padalarang
GA13551029;9232020;Full price ticket;04/09/2026;G1043;02;Premium Economy Class;015A;Halim—Padalarang
GA88518382;9217429;Full price ticket;04/09/2026;G1043;02;Premium Economy Class;015D;Halim—Padalarang
GA88518382;9217430;Full price ticket;04/09/2026;G1043;02;Premium Economy Class;015F;Halim—Padalarang
GA88518382;9217431;Full price ticket;04/09/2026;G1043;02;Premium Economy Class;016D;Halim—Padalarang
GA25328812;9217388;Full price ticket;04/09/2026;G1043;02;Premium Economy Class;016F;Halim—Padalarang
GA93514551;9411686;Full price ticket;04/09/2026;G1043;02;Premium Economy Class;017A;Halim—Padalarang
GA93514551;9411687;Full price ticket;04/09/2026;G1043;02;Premium Economy Class;017B;Halim—Padalarang
GA93514551;9411688;Full price ticket;04/09/2026;G1043;02;Premium Economy Class;017C;Halim—Padalarang
GA25328812;9217389;Full price ticket;04/09/2026;G1043;02;Premium Economy Class;017D;Halim—Padalarang
GA25328812;9217390;Full price ticket;04/09/2026;G1043;02;Premium Economy Class;017F;Halim—Padalarang
GA03539561;9411691;Full price ticket;04/09/2026;G1043;02;Premium Economy Class;018A;Halim—Padalarang
GA03539561;9411692;Full price ticket;04/09/2026;G1043;02;Premium Economy Class;018B;Halim—Padalarang
GA03539561;9411693;Full price ticket;04/09/2026;G1043;02;Premium Economy Class;018C;Halim—Padalarang
GA25328812;9217391;Full price ticket;04/09/2026;G1043;02;Premium Economy Class;018D;Halim—Padalarang
GA25328812;9217392;Full price ticket;04/09/2026;G1043;02;Premium Economy Class;018F;Halim—Padalarang
GA75515013;9054178;Full price ticket;04/09/2026;G1043;02;Premium Economy Class;002A;Halim—Tegalluar
GA75515013;9054179;Full price ticket;04/09/2026;G1043;02;Premium Economy Class;002B;Halim—Tegalluar
GA75515013;9054180;Full price ticket;04/09/2026;G1043;02;Premium Economy Class;002C;Halim—Tegalluar
GA75515013;9054181;Full price ticket;04/09/2026;G1043;02;Premium Economy Class;002D;Halim—Tegalluar
GA75515013;9054182;Full price ticket;04/09/2026;G1043;02;Premium Economy Class;002F;Halim—Tegalluar
GA51335684;9231726;Full price ticket;04/09/2026;G1043;02;Premium Economy Class;004A;Halim—Tegalluar
GA53229251;9232041;Full price ticket;04/09/2026;G1043;02;Premium Economy Class;005A;Halim—Tegalluar
GA53229251;9232042;Full price ticket;04/09/2026;G1043;02;Premium Economy Class;006A;Halim—Tegalluar
GA31511955;9339311;Gold Silver;04/09/2026;G1043;02;Premium Economy Class;006F;Halim—Tegalluar
